Nro C;Temperatura [K];Presión[MPa];Densidad [kg/m3]
4;323;68,39;629,5
4;323;68,37;629,5
4;323;61,42;624,4
4;323;52,27;616,2
4;323;43,59;607,7
4;323;37,21;601,4
4;323;34,56;598,4
4;323;34,54;598,4
4;323;34,25;597,4
4;323;31,92;595,1
4;323;29,76;592,7
4;323;26,85;588,8
4;323;21,98;581,9
4;323;18,03;575,9
4;323;13,31;567,4
4;348;69,17;614,5
4;348;68,5;614,3
4;348;65,59;611,1
4;348;62,06;607,8
4;348;62,02;607,4
4;348;58,53;603,9
4;348;55,1;600,5
4;348;55,09;600,5
4;348;51,81;597,1
4;348;48,39;593,3
4;348;48,37;593,3
4;348;44,67;589,1
4;348;41,35;585,2
4;348;34,77;576,7
4;348;34,75;576,7
4;348;28,11;567,4
4;348;21,19;556,4
4;348;13,86;541,9
4;373;69,12;597,2
4;373;66,94;594,9
4;373;63,75;591,7
4;373;62,08;589,8
4;373;58,51;586,4
4;373;55,16;582,5
4;373;48,38;574,3
4;373;48,34;574,3
4;373;41,46;565,8
4;373;34,58;555,7
4;373;34,38;555,7
4;373;27,63;544,3
4;373;27,58;544,3
4;373;21,21;532,1
4;373;21,12;532,1
4;373;17,16;522,8
4;373;15,17;517,8
4;398;68,92;578,1
4;398;68,89;578,6
4;398;65,19;574,4
4;398;62,22;571,8
4;398;58,63;567
4;398;48,14;555,4
4;398;45,54;549
4;398;41,37;545,6
4;398;34,46;533,9
4;398;34,45;533,9
4;398;27,62;522,2
4;398;22,26;509,6
4;398;22,21;510
4;398;18,39;498,8
4;398;17,54;495,9
4;413;69,01;571,7
4;413;69;571,7
4;413;62,33;564,6
4;413;55,15;555,6
4;413;55,13;555,6
4;413;48,43;545,9
4;413;41,55;535
4;413;34,46;522,9
4;413;27,62;509,4
4;413;21,67;493,8
4;413;16,93;478,1
4;413;14,19;467,5
4;428;69,14;562,4
4;428;63,82;556,4
4;428;58,6;549,2
4;428;53,78;543,6
4;428;48,57;535,6
4;428;43,33;527,5
4;428;37,94;519,2
4;428;32,31;508,1
4;428;27,32;495,1
4;428;21,28;478,3
4;443;69,06;554
4;443;68,96;554
4;443;62,1;546,5
4;443;61,91;545
4;443;55,05;536,6
4;443;48,26;526,6
4;443;48,23;526,6
4;443;41,27;514,1
4;443;34,64;501,9
4;443;27,71;483,5
4;443;27,7;484,2
4;443;20,82;462,1
4;443;20,77;462,1
