;;;;;;;;
;Compresibilidad Isotérmica;;;;;;;
;Paper ID;Compuesto;Nombre Abreviado;Número de C;T min [K];T max [K];P min [MPa];P max [MPa]
;P1;n-hexano;n-C6;6;278,15;463,15;1;50
;P1;n-decano;n-C10;10;278,15;463,15;1;50
;P1;n-hexadecano;n-C16;16;278,15;463,15;1;50
;P5;n-hexano;n-C6;6;291,27;349,96;2;50,02
;P5;n-heptano;n-C7;7;293,08;352,89;1,99;50,02
;P5;n-octano;n-C8;8;292,99;352,89;2;50,02
;P5;n-nonano;n-C9;9;293,07;352,88;2;50,02
;P5;n-decano;n-C10;10;292,99;352,87;2;50,02
;P7;n-decano;n-C10;10;303,152;353,157;2,001;29,995
;P7;n-pentano;n-C5;5;293,211;353,122;2;30,001
;P7;n-octano;n-C8;8;293,214;353,12;1,996;30,004
;P7;n-nonano;n-C9;9;293,208;353,12;1,993;30,003
;P7;n-dodecano;n-C12;12;293,211;353,122;2,007;30,007
;P10;n-nonano;n-C9;9;283,15;448,15;0,1;390
;P16;n-octano;n-C8;8;298,15;298,15;0,101325;0,101325
;P16;n-decano;n-C10;10;298,15;298,15;0,101325;0,101325
;P16;n-dodecano;n-C12;12;298,15;298,15;0,101325;0,101325
;P16;n-tetradecano;n-C14;14;298,15;298,15;0,101325;0,101325
;P16;n-hexadecano;n-C16;16;298,15;298,15;0,101325;0,101325
;P17;n-hexano;n-C6;6;298,15;333,15;0,1;2
;P17;n-heptano;n-C7;7;298,15;333,15;0,1;2
;P17;n-octano;n-C8;8;298,15;333,15;0,1;2
;P17;n-nonano;n-C9;9;298,15;333,15;0,1;2
;P17;n-decano;n-C10;10;298,15;333,15;0,1;2
;P17;n-undecano;n-C11;11;298,15;333,15;0,1;2
;P17;n-dodecano;n-C12;12;298,15;333,15;0,1;2
;P17;n-tridecano;n-C13;13;298,15;333,15;0,1;2
;P17;n-tetradecano;n-C14;14;298,15;333,15;0,1;2
;P17;n-pentadecano;n-C15;15;298,15;333,15;0,1;2
;P17;n-hexadecano;n-C16;16;298,15;333,15;0,1;2
;P17;n-heptadecano;n-C17;17;298,15;333,15;0,1;2
;P18;n-hexano;n-C6;6;298,15;323,15;0,2;2,5
;P18;n-heptano;n-C7;7;298,15;323,15;0,2;2,5
;P18;n-nonano;n-C9;9;298,15;323,15;0,2;2,5
;Tesis;n-metano;n-C1;1;303,15;303,15;10;70
;Tesis;n-propano;n-C3;3;275;300;1,6;34,7
;Tesis;n-hexano;n-C6;6;278,15;463,15;1;50
;Tesis;n-decano;n-C10;10;278,15;463,15;1;120
;Tesis;n-tetracosano;n-C24;24;333,52;371,22;2;12
